Alert Book for BREEZESCREAMER@tda on 2/28/24

Alert Book
Sent,Alert ID,Context,Trigger,Current,Options,Status
2/28/24 13:21:02,24387566,COST (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_MACD()."Avg" is greater than or equal to 3.5 and shared_rp_wsb_DMI()."DIg" is less than or equal to 8.5 and MACDaf("select" = "THREE_DAYS")."Value" is greater than or equal to 5.6 and StochRSIaf("select" = "THREE_DAYS")."K" is greater than or equal to 84 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 9.75 and DIaf("select" = "WEEK")."DIg" is less than or equal to 14.2 within 2 bars False,True,Reverse crossover: Silent,Active
2/28/24 13:18:58,24386820,COST (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_MACD()."Avg" is greater than or equal to 3.5 and shared_rp_wsb_DMI()."DIg" is less than or equal to 8.5 and MACDaf("select" = "THREE_DAYS")."Value" is greater than or equal to 5.6 and StochRSIaf("select" = "THREE_DAYS")."K" is greater than or equal to 84 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 9.75 and DIaf("select" = "WEEK")."DIg" is less than or equal to 14.2 within 2 bars True,,Reverse crossover: Silent,Triggered
2/28/24 12:27:58,24367907,COST (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_MACD()."Avg" is greater than or equal to 3.5 and shared_rp_wsb_DMI()."DIg" is less than or equal to 8.5 and MACDaf("select" = "THREE_DAYS")."Value" is greater than or equal to 5.6 and StochRSIaf("select" = "THREE_DAYS")."K" is greater than or equal to 84 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 9.75 and DIaf("select" = "WEEK")."DIg" is less than or equal to 14.2 within 2 bars False,,Reverse crossover: Silent,Triggered
2/28/24 12:26:56,24367509,COST (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_MACD()."Avg" is greater than or equal to 3.5 and shared_rp_wsb_DMI()."DIg" is less than or equal to 8.5 and MACDaf("select" = "THREE_DAYS")."Value" is greater than or equal to 5.6 and StochRSIaf("select" = "THREE_DAYS")."K" is greater than or equal to 84 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 9.75 and DIaf("select" = "WEEK")."DIg" is less than or equal to 14.2 within 2 bars True,,Reverse crossover: Silent,Triggered
2/28/24 12:25:55,24367116,COST (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_MACD()."Avg" is greater than or equal to 3.5 and shared_rp_wsb_DMI()."DIg" is less than or equal to 8.5 and MACDaf("select" = "THREE_DAYS")."Value" is greater than or equal to 5.6 and StochRSIaf("select" = "THREE_DAYS")."K" is greater than or equal to 84 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 9.75 and DIaf("select" = "WEEK")."DIg" is less than or equal to 14.2 within 2 bars False,,Reverse crossover: Silent,Triggered
2/28/24 12:24:05,24366429,COST (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_MACD()."Avg" is greater than or equal to 3.5 and shared_rp_wsb_DMI()."DIg" is less than or equal to 8.5 and MACDaf("select" = "THREE_DAYS")."Value" is greater than or equal to 5.6 and StochRSIaf("select" = "THREE_DAYS")."K" is greater than or equal to 84 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 9.75 and DIaf("select" = "WEEK")."DIg" is less than or equal to 14.2 within 2 bars True,,Reverse crossover: Silent,Triggered
2/28/24 12:23:03,24366067,COST (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_MACD()."Avg" is greater than or equal to 3.5 and shared_rp_wsb_DMI()."DIg" is less than or equal to 8.5 and MACDaf("select" = "THREE_DAYS")."Value" is greater than or equal to 5.6 and StochRSIaf("select" = "THREE_DAYS")."K" is greater than or equal to 84 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 9.75 and DIaf("select" = "WEEK")."DIg" is less than or equal to 14.2 within 2 bars False,,Reverse crossover: Silent,Triggered
2/28/24 09:47:01,24287358,CMI (3 Days),high is greater than or equal to shared_rp_wsb_BollingerBand()."UpperBand" and shared_rp_wsb_DMI()."DIg" is less than or equal to 18 and shared_rp_wsb_MACD()."Value" is greater than or equal to 0 and DIaf("select" = "WEEK")."DIg" is less than or equal to 8.9 and DIaf("select" = "MONTH")."DIg" is less than or equal to 15 within 2 bars and shared_rp_wsb_StochRSI()."D" is greater than or equal to 90 False,True,Reverse crossover: Silent,Active
2/28/24 09:35:48,24277497,URI (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 13.7 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 12.4 and shared_rp_wsb_MACD()."Value" is greater than or equal to 11.2 and MACDaf("select" = "THREE_DAYS")."Value" is greater than or equal to 29.4 False,True,Reverse crossover: Silent,Active
2/28/24 09:30:02,24270758,CF (Day),"DIMinus("length" = 5) is less than or equal to 10.92 and StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5, "slowing period" = 3)."FullD" is greater than or equal to 82 and high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 13.2 True",False,Reverse crossover: Silent,Active
2/28/24 09:30:02,24270747,PVH (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_DMI()."DIg" is less than or equal to 9 and shared_rp_wsb_DMI()."DIr" is greater than or equal to 40 True,False,Reverse crossover: Silent,Active
2/28/24 09:30:02,24270720,CMI (3 Days),high is greater than or equal to shared_rp_wsb_BollingerBand()."UpperBand" and shared_rp_wsb_DMI()."DIg" is less than or equal to 18 and shared_rp_wsb_MACD()."Value" is greater than or equal to 0 and DIaf("select" = "WEEK")."DIg" is less than or equal to 8.9 and DIaf("select" = "MONTH")."DIg" is less than or equal to 15 within 2 bars and shared_rp_wsb_StochRSI()."D" is greater than or equal to 90 True,,Reverse crossover: Silent,Triggered
